ProductionVolume;ProductionCost;SupplierQuality;DeliveryDelay;DefectRate;QualityScore;MaintenanceHours;DowntimePercentage;InventoryTurnover;StockoutRate;WorkerProductivity;SafetyIncidents;EnergyConsumption;EnergyEfficiency;AdditiveProcessTime;AdditiveMaterialCost;DefectStatus
430;13.133.558.082.377.700;9.261.540.840.345.240;1;30.319.435.385.208.900;9.162.638.104.182.440;6;0.9211456513599198;39.350.771.838.623;0.047226604679897866;9.512.215.800.686.650;2;249.989.534.459.505;0.1100084511147831;30.811.459.203.926.700;3.282.043.329.237.660;1
558;13.855.215.356.881.500;8.911.299.098.879.750;0;2.655.683.265.535.760;8.788.559.255.783.130;15;30.677.545.516.787.900;2.502.169.251.993.530;0.03092095323183568;8.336.140.330.035.780;5;27.245.347.130.026.200;0.31641160834983806;16.645.146.770.399.900;4.693.196.730.692.770;1
187;12.625.408.203.744.100;8.964.034.679.553.860;3;0.9704950616796092;9.982.080.913.057.510;9;0.2605566430491829;31.729.128.942.650.400;0.033878650538354795;9.773.729.658.783.190;5;10.641.293.777.041.200;0.14555048153160374;7.463.574.838.022.930;17.061.159.066.064.400;0
472;9.463.226.769.782.300;9.515.553.120.750.310;5;32.562.027.819.368.700;6.054.710.604.418.570;14;0.5105754447451843;31.722.065.582.509.400;0.05127547840799121;9.178.033.180.890.370;5;13.341.831.488.648.100;0.2744033332343333;3.603.477.368.533.330;24.674.036.135.394.300;1
199;13.475.329.892.885.200;8.563.836.711.194.500;2;3.820.789.041.138.220;7.420.532.861.263.160;15;3.372.971.178.677.930;36.274.200.172.331;0.03066647953149948;9.358.574.366.544.960;9;3.020.192.080.044.940;0.4164501267432066;45.027.816.687.604.600;14.944.673.399.591.400;1
971;1.533.327.953.075.130;863.607.922.338.904;2;3.952.752.354.741.410;712.411.170.508.081;5;0.3546882590415973;4.289.603.176.519.870;0.08923048843684123;8.588.513.131.698.530;1;16.004.890.608.792.100;0.15698429850416007;9.279.353.464.535.910;3.568.150.873.255.790;1
763;18.099.843.737.912.100;9.849.283.582.257.270;0;4.574.179.347.180.920;7.049.263.400.662.130;3;2.976.788.899.069.860;8.519.866.915.828.320;0.04390179324291087;8.883.088.527.271.310;8;4.115.050.433.387.990;0.4743241395089941;6.098.026.144.706.860;3.676.571.710.778.800;1
230;1.454.437.030.968.870;8.112.448.589.701.940;4;23.426.183.384.994.900;6.890.119.129.995.540;3;11.000.629.932.569.200;932.611.091.344.894;0.029202208401302433;9.613.624.957.812.500;7;2.097.940.696.018.100;0.45540187695656187;18.737.025.751.354.400;36.567.292.777.425.400;1
761;1.641.682.305.564.730;8.971.268.596.826.680;4;47.888.274.587.996.100;8.836.495.363.260.910;23;15.204.241.425.587.400;5.250.244.873.831.600;0.015539483354114937;8.661.352.437.526.360;6;13.915.985.493.972.900;0.26596202834667937;8.196.507.215.414.640;31.685.081.934.533.800;1
408;7.401.074.524.318.590;9.825.601.600.815.720;5;4.394.432.322.872.080;63.390.378.931.012.800;22;0.648182510737132;30.256.716.159.064.800;0.06723507263003581;8.330.123.231.020.380;8;19.408.397.036.137.900;0.10238993629037463;33.051.753.919.850.900;39.850.434.711.910.800;1
869;11.923.362.116.296.800;9.220.726.015.636.310;2;18.342.570.696.077.200;8.966.435.335.773.350;3;12.433.374.308.641.900;37.904.794.007.642.400;0.0025786943285584065;8.756.609.825.966.960;3;24.283.929.206.231.500;0.4158979306697944;5.974.352.583.815.640;11.435.091.855.199.100;1
443;5.139.974.297.406.390;9.092.814.148.424.260;0;12.167.736.680.725.600;8.773.703.368.065.090;21;410.645.892.409.664;7.889.647.814.841.800;0.04499957871699404;8.138.437.334.818.770;1;11.412.664.343.795.300;0.45235832136491316;5.589.833.273.775.910;48.300.539.497.812.200;1
591;8.700.182.967.824.340;849.948.835.845.871;0;24.592.522.825.760.600;7.003.216.530.003.580;21;31.943.920.280.326.300;7.419.404.153.703.110;0.055012182036722396;9.435.712.916.969.860;3;1.566.702.097.545.310;0.16989523694217304;3.142.709.581.166.920;1.888.384.831.717.410;1
513;15.896.925.726.695.000;8.686.550.978.128.890;0;230.854.418.580.185;7.011.335.132.660.640;16;47.487.989.735.642.700;9.737.658.412.845.520;0.033978461088033166;8.295.491.817.548.390;9;22.953.870.179.100.700;0.46647688352662287;20.419.393.131.512.200;14.862.478.747.669.700;1
905;1.987.714.927.024.040;9.704.096.831.609.380;3;30.907.368.739.904.100;8.515.442.341.378.000;12;0.2437242767687764;2.115.909.444.760.660;0.07498177472750057;857.025.181.412.169;2;22.419.218.952.390.500;0.46563891091787846;29.013.544.584.547.100;4.764.544.171.767.720;1
485;6.487.671.493.808.230;9.118.436.263.536.910;5;3.125.238.045.474.860;9.048.684.421.934.710;1;3.962.059.985.920.340;8.006.070.082.258.850;0.06756604968379389;9.762.162.011.107.780;1;4.201.546.786.239.350;0.2885163404136762;18.760.401.960.756.900;4.321.747.665.446.330;1
291;11.022.414.737.919.300;902.948.438.751.356;4;38.749.414.297.098.800;9.505.942.452.349.460;19;3.495.385.916.397.120;6.046.348.803.623.850;0.09713989875699618;9.080.995.315.913.540;1;4.373.021.901.250.610;0.41921392431913673;3.480.652.170.568.910;40.594.816.771.667.200;1
376;1.700.106.453.048.730;8.199.159.427.080.050;4;2.794.504.766.925.240;9.408.558.255.417.900;5;13.044.615.259.876.800;9.221.543.823.379.670;0.050876679928968195;8.642.676.881.192.950;7;17.736.743.965.741.900;0.27797919130879534;9.975.677.596.637.180;14.189.828.357.559.200;0
260;8.060.534.519.433.480;8.032.056.312.910.240;3;0.971701884233445;9.859.531.976.655.410;21;36.458.335.140.529.200;6.609.333.393.014.930;0.0537812364629383;9.095.333.780.029.770;4;14.957.595.356.513.800;0.32561850636744716;46.188.303.871.724.400;4.230.116.854.704.660;1
559;13.326.274.239.534.200;9.927.370.377.374.090;1;4.362.311.009.988.970;8.325.539.581.346.040;0;3.582.742.749.573.100;5.573.341.795.691.320;0.02458393191938222;8.436.555.319.263.770;5;35.366.499.372.856.700;0.22793560392390533;8.774.995.522.015.090;34.360.940.920.391.300;1
413;15.996.069.440.445.100;8.753.972.334.573.680;3;18.939.406.243.333.400;9.634.622.245.361.430;7;22.967.260.152.937.100;7.326.804.875.943.950;0.03854838907307206;8.050.346.259.411.220;7;42.184.942.227.817.200;0.1637877381283298;5.942.599.229.161.550;392.763.444.404.738;0
121;14.239.781.753.902.600;9.206.426.124.199.000;5;48.708.385.713.796.600;9.234.053.093.041.640;17;34.431.980.942.685.400;866.818.753.744.798;0.002686059115830397;9.207.464.957.927.600;6;48.548.923.888.965.200;0.39861463352561277;6.999.247.714.003.590;49.122.811.192.735.600;1
352;7.820.371.019.231.240;815.943.014.637.457;0;10.303.704.890.589.600;9.578.670.497.256.050;20;2.222.904.515.075.320;4.259.988.401.382.810;0.06892747885976895;9.428.251.865.569.450;6;10.271.851.389.860.500;0.10055713780765428;24.071.317.277.550.000;1.777.764.708.472.000;1
847;10.330.768.530.286.000;9.366.228.571.446.090;3;4.812.130.275.046.260;60.465.064.051.414.600;3;16.777.279.802.893.600;28.602.163.502.740.600;0.031162279968354002;9.759.563.530.891.950;6;26.547.124.537.072.100;0.3318210758595126;3.473.252.806.797.770;3.017.527.843.274.120;1
956;1.675.687.676.728.090;9.865.133.417.411.920;0;0.9095531309713264;9.863.611.967.463.240;4;23.324.548.016.845.800;5.464.144.946.554.560;0.05403670096666979;9.543.766.722.129.440;6;39.359.513.363.775.400;0.44587441055138555;55.939.908.072.603.200;401.340.778.583.646;1
660;1.331.339.771.198.020;915.133.050.599.484;5;15.396.626.207.617.600;7.894.120.651.385.910;4;4.475.647.407.463.950;37.161.589.824.938.200;0.025499239641094906;985.335.540.099.103;7;4.314.237.195.497.410;0.18851091471058024;8.930.290.908.041.560;2.734.625.403.086.790;0
574;5.078.444.203.143.690;8.252.230.644.750.820;5;0.7096097393894372;9.192.731.958.299.370;14;19.229.189.643.010.900;5.436.329.403.161.670;0.06210362003396587;9.971.906.951.085.740;0;12.491.437.947.323.900;0.23315978271920096;13.859.923.229.644.600;12.186.123.316.728.300;1
158;16.414.861.400.421.400;9.163.443.054.946.950;2;36.730.091.598.754.700;6.508.816.477.351.120;9;20.184.408.872.833.100;99.283.853.823.916;0.044758249295404444;9.489.870.895.491.590;2;3.722.458.077.856.500;0.3349943411457851;5.562.279.636.091.480;14.457.555.955.020.800;1
610;5.529.670.324.103.580;9.532.694.426.209.300;0;4.326.344.314.573.060;7.583.764.383.255.890;7;3.042.016.138.110.250;6.592.976.750.192.170;0.04818606523862942;9.735.846.601.660.660;0;21.557.548.695.958.800;0.19874809861245604;14.591.099.125.758.600;3.408.367.890.182.490;1
781;16.186.006.740.968.400;8.812.833.073.148.030;4;24.533.198.681.719.100;7.085.842.652.083.960;6;37.649.973.771.681.000;754.880.178.277.395;0.09426071398153263;934.746.300.645.637;7;12.983.878.373.325.000;0.4389947429323132;51.114.040.880.435.400;21.400.165.855.630.200;1
575;8.037.208.402.478.560;9.759.675.495.882.930;3;4.678.349.337.690.930;7.166.635.082.003.740;11;36.731.043.015.557.800;7.423.427.379.691.340;0.07061603231238602;8.341.875.582.416.530;1;2.956.410.327.018.660;0.24664126684502202;6.659.813.433.993.730;15.513.625.892.103.700;1
799;193.711.022.017.907;929.736.590.671.473;5;3.156.345.822.900.190;6.493.022.479.803.520;10;0.09899365059078624;8.565.606.690.288.500;0.026189973560007396;836.340.485.264.457;6;1.632.613.372.816.580;0.33264548792795445;7.702.508.722.854.760;23.595.679.900.983.200;1
882;10.519.111.269.531.200;9.798.497.836.578.400;0;33.350.321.095.093.500;9.223.055.330.172.020;12;34.370.766.650.942.600;9.553.028.792.123.030;0.05039218177414254;8.220.518.912.630.520;5;3.948.030.072.246.730;0.19044845903968352;22.467.880.473.456.400;1.803.923.728.179.140;1
289;9.903.974.245.071.180;9.247.010.622.494.670;1;4.304.386.407.653.460;6.036.969.258.324.310;14;22.527.702.404.946.300;7.270.544.785.664.420;0.04666728190519784;9.885.949.439.987.040;0;3.965.047.198.797.810;0.11655453479639429;2.499.177.551.152.130;10.957.578.662.990.900;1
786;723.332.075.498.667;8.262.575.944.009.640;2;1.835.600.922.733.270;725.002.182.794.081;16;26.204.498.377.722.800;5.808.757.158.025.660;0.07950526068783638;934.550.339.567.876;5;4.368.271.059.950.030;0.16948010640546424;5.230.584.295.226.110;16.072.559.542.686.600;1
662;9.584.063.232.353.220;8.619.383.422.210.370;1;2.094.195.745.974.310;669.764.217.286.566;21;2.808.316.684.714.890;45.426.475.713.432.900;0.08333551140962026;9.579.819.500.931.040;8;25.102.747.405.910.000;0.1184795750435213;9.982.328.121.811.660;45.323.118.436.706.900;1
975;18.149.761.427.423.000;8.403.589.896.504.910;5;4.576.783.636.375.890;8.356.155.762.433.360;21;3.658.598.085.541.320;4.882.194.400.990.930;0.02834428227417254;8.662.314.673.648.720;2;10.532.391.889.225.700;0.28744155984528774;4.204.421.520.910.870;10.481.491.300.108.600;1
666;1.994.501.506.440.870;9.817.652.995.433.720;1;4.554.335.732.174.430;7.017.009.610.458.170;17;4.156.664.918.041.560;4.675.844.864.992.450;0.08211514539062365;8.920.843.420.153.510;6;20.389.437.534.979.100;0.33465495636721976;4.847.746.846.266.190;4.095.401.214.376.380;1
343;10.524.642.957.602.700;9.520.800.134.574.960;1;4.894.172.492.903.910;70.359.938.181.124;7;32.313.047.231.611.800;4.595.723.930.191.110;0.017950140529100145;8.079.559.063.673.380;3;28.712.467.981.011.000;0.1178700830741811;4.892.020.685.330.960;4.013.844.423.486.330;1
931;11.729.159.464.318.100;9.352.796.737.820.010;2;455.827.242.398.752;7.953.352.575.981.270;5;2.819.536.104.030.000;7.557.000.035.056.750;0.07627705545376955;9.778.014.800.870.190;0;3.776.045.117.664.200;0.13619288861517315;1.726.307.392.213.850;3.256.950.753.435.950;1
604;15.831.064.073.041.000;8.601.932.639.263.240;2;1.073.174.162.150.120;8.610.756.157.363.700;10;18.688.462.740.635.000;6.701.672.239.614.910;0.024878454380136073;9.706.006.858.823.210;6;2.528.162.342.746.960;0.2942100107241404;7.967.549.307.609.950;18.337.910.628.334.800;0
230;18.292.936.706.976.100;8.368.089.544.100.420;2;4.206.759.287.616.440;6.485.218.818.260.650;8;0.6893910961597377;361.596.035.934.181;0.02979311574132959;9.569.622.669.728.580;0;3.144.193.584.268.550;0.4196719728803905;3.277.913.719.834.960;45.122.368.972.009.200;1
584;13.895.665.012.801.700;9.512.902.175.977.820;2;23.442.731.514.931.700;6.702.045.809.861.980;4;479.288.840.822.432;9.757.008.153.329.560;0.0852467840188994;8.116.604.135.362.380;3;30.970.543.498.228.600;0.35120367156628773;7.333.003.511.946.270;29.003.022.751.757.700;1
918;1.087.288.547.266.740;8.948.315.891.758.150;1;495.860.610.175.672;698.869.897.837.807;6;23.092.114.616.265.300;5.421.804.122.834.550;0.0420074865056297;8.348.499.471.154.860;8;16.599.293.974.332.600;0.14188408804154778;52.758.089.095.203.100;16.928.249.161.909.400;1
746;11.189.327.612.729.300;8.451.579.104.301.250;4;2.625.264.339.479.600;9.894.992.856.471.840;21;28.310.612.224.869.600;6.528.691.208.544.620;0.09905658248562961;8.668.341.315.508.920;4;34.921.980.003.200.500;0.4550169095365979;6.506.017.679.974.450;2.716.090.369.956.900;1
120;15.434.272.197.452.100;923.324.395.633.055;4;29.922.623.712.599.900;7.588.609.999.771.680;14;37.553.656.971.820.800;76.208.077.343.181.000;0.015194302990744113;8.526.125.350.683.340;6;2.757.006.912.821.590;0.4669800939158987;14.857.447.284.549.600;17.796.689.109.770.100;1
940;50.482.739.540.641.800;8.080.667.704.276.900;2;2.883.987.118.655.590;8.395.960.362.524.100;20;0.3420524248991458;6.909.419.013.415.160;0.04633490380396835;9.676.919.677.062.130;6;4.231.674.806.609.970;0.22998273113978437;9.009.691.159.749.090;25.040.313.645.196.900;1
266;1.429.384.006.189.760;8.652.340.508.256.500;3;194.781.663.436.225;6.966.171.250.863.910;21;4.275.055.045.018.650;4.488.414.152.764.800;0.07324503309089363;8.389.671.516.401.230;2;37.624.448.325.155.900;0.3464071167525449;319.471.092.477.742;2.986.751.084.040.480;1
373;10.332.395.156.620.300;893.711.398.918.227;0;0.8375994000181317;7.961.838.100.629.950;3;3.985.128.716.712.030;8.381.652.587.899.010;0.0005367057978507451;906.424.893.067.795;7;14.458.767.447.902.100;0.29693086007388475;7.030.858.487.507.530;24.396.035.588.081.900;0
487;1.691.295.996.915.620;8.295.916.668.218.810;5;4.530.430.536.808.630;6.296.476.697.543.830;18;38.721.429.095.492.000;2.881.229.116.637.010;0.015185527819301737;9.142.762.195.638.620;0;29.550.336.401.462.700;0.47680950745192885;8.182.172.008.595.450;3.628.177.096.290.800;1
700;6.394.859.597.346.980;996.930.895.518.168;3;411.204.115.636.829;6.138.968.583.689.300;12;0.10991353367204193;65.519.666.776.293.700;0.0020356749410980314;8.850.023.694.325.070;3;38.099.774.339.767.400;0.30349941317949436;5.860.348.455.548.770;4.743.671.216.353.750;1
415;13.823.034.004.225.800;8.418.194.729.179.220;5;11.278.705.125.185.100;7.874.934.107.285.840;0;26.325.942.570.520.700;4.186.537.784.112.800;0.09928778653827537;8.481.375.863.460.910;9;13.480.469.032.293.700;0.4839863254848257;4.036.006.198.707.610;23.925.973.905.878.500;0
113;12.214.593.348.291.800;826.070.626.008.653;3;3.995.457.221.075.320;7.594.637.150.073.640;0;0.2713418536621842;6.926.098.941.384.140;0.07606246624214706;9.920.588.581.762.260;3;4.169.988.130.226.520;0.17973702021208246;9.801.130.370.329.690;24.229.580.553.459.400;1
341;14.634.882.888.578.400;8.407.069.747.773.790;3;3.316.309.997.227.740;654.752.127.876.731;21;2.754.362.894.236.450;37.439.478.486.749.500;0.03735590977466002;8.826.798.484.538.040;1;18.880.180.585.775.900;0.23821470307827197;35.059.574.194.362.600;39.532.098.824.090.600;1
876;5.972.803.917.244.520;9.538.122.266.319.440;4;23.411.470.456.293;8.750.405.715.682.930;13;35.922.416.312.776.100;8.177.597.241.674.700;0.015628493469677575;9.454.619.991.073.320;5;30.123.391.818.947.500;0.4125380960384549;9.537.961.034.109.430;3.122.363.726.084.330;1
445;13.699.756.811.421.900;8.851.011.318.543.680;0;16.430.951.709.300.300;9.971.613.963.597.050;8;0.6092512512921144;3.820.290.650.126.660;0.009038324280345067;8.368.092.975.312.450;0;4.762.245.149.890.540;0.4134442942373472;24.060.172.031.625.800;27.153.577.584.829.600;0
664;13.422.268.819.392.800;9.130.831.879.505.070;3;4.368.779.525.760.040;758.258.728.478.685;23;3.474.415.527.386.440;9.123.137.079.734.660;0.05319072005509119;9.645.622.337.072.450;2;3.285.336.939.289.130;0.3928733095826821;4.502.999.183.701.090;425.523.275.382.601;1
997;13.409.901.416.242.500;8.042.018.313.972.720;2;36.508.471.668.232.300;8.498.234.543.669.570;11;2.247.664.229.926.530;8.892.439.237.361.840;0.09758913181991989;8.431.783.646.467.330;8;26.962.178.068.157.800;0.44384458586612163;224.646.025.732.572;4.564.144.268.765.640;1
439;14.052.314.998.946.800;806.886.261.714.663;5;29.648.295.926.111.100;9.851.903.769.457.940;17;40.577.646.533.891;489.914.761.611.049;0.0674610944657764;9.350.613.247.146.050;9;10.271.797.095.965.700;0.3810184691775249;10.201.642.576.632.600;3.362.346.424.188.730;1
191;15.147.019.058.395.400;8.891.651.099.654.030;4;32.430.584.025.430.800;9.326.139.889.787.500;8;26.679.446.969.015.000;5.086.562.310.992.200;0.03651383682587295;9.012.992.002.945.040;5;15.336.544.910.963.100;0.3544340577888936;3.342.326.863.568.270;17.404.130.910.220.200;1
466;17.074.834.995.211.500;9.633.310.486.403.240;5;0.9097978193698144;7.854.208.893.210.740;7;16.806.076.791.732.400;7.612.027.661.499.920;0.05008509732374883;8.293.114.281.962.850;1;33.146.555.403.919.500;0.28357000523100484;17.848.936.082.705.900;28.651.435.560.079.100;0
554;9.047.310.801.923.210;9.770.477.757.415.130;2;2.632.638.924.100.360;8.949.957.937.839.670;13;1.659.957.817.118.540;27.229.883.037.798.700;0.0998903367939452;8.049.898.392.312.150;8;29.753.001.626.149.500;0.28683509733173074;9.877.109.707.813.120;3.017.482.648.592.530;1
527;1.737.574.115.270.090;8.173.413.135.191.280;2;1.371.651.317.535.650;6.512.540.161.002.090;8;448.743.260.003.792;26.473.552.974.054.300;0.05187662288844505;9.861.496.530.763.610;1;24.553.167.025.873.200;0.2624645972816967;7.854.879.861.566.220;2.728.829.428.443.430;1
608;12.473.835.233.951.800;9.076.726.204.202.040;3;14.377.265.555.397.100;8.048.415.421.855.190;19;22.643.579.229.256.600;3.090.593.574.671.540;0.09642014857763559;825.138.102.712.908;6;4.692.863.541.576.460;0.3480847198815281;10.333.431.668.980.700;20.497.275.154.615.300;1
875;6.155.874.187.014.960;9.826.459.372.558.540;2;34.758.678.302.909;7.116.241.108.719.740;1;2.028.769.485.882.100;6.499.802.683.598.810;0.0016361718817826;940.990.285.737.383;0;2.329.930.149.703.760;0.26266557169319743;3.012.819.263.412.320;2.889.287.230.895.410;1
134;58.782.639.386.596.800;8.775.945.508.795.770;0;4.600.652.683.254.290;6.644.654.751.584.640;0;0.1993681114895779;3.192.018.438.648.740;0.07209631282341726;9.305.369.917.893.960;4;31.486.030.257.764.200;0.1589977256346388;70.311.181.715.534.500;27.861.846.083.907.500;1
305;10.013.574.780.440.900;9.659.131.662.856.730;2;23.169.047.471.525.500;7.705.123.625.018.130;12;18.216.230.255.770.000;4.220.938.254.183.850;0.06271614492131165;8.683.440.084.897.050;6;327.485.363.809.652;0.1426118464834587;458.696.901.848.279;18.379.740.958.077.500;1
180;16.773.454.656.672.000;8.267.391.308.798.870;3;14.348.717.285.548.500;6.524.058.217.734.450;9;4.248.135.274.722.120;7.175.291.260.321.660;0.06853298584573217;8.370.765.799.109.450;2;3.109.873.560.255.690;0.4697889100975111;8.486.583.067.398.040;461.372.260.934.426;1
661;15.615.214.021.113.700;9.870.788.979.335.590;5;3.419.361.217.564.940;8.795.940.432.697.940;7;3.804.938.282.663.040;21.249.902.226.937.200;0.057056708925745284;835.665.649.891.083;3;2.910.341.566.160.390;0.10989556301515324;5.543.747.005.381.580;4.541.363.803.389.870;1
971;16.829.224.470.086.000;9.502.846.635.062.600;2;442.034.170.857.643;7.824.960.176.213.340;6;1.104.566.013.982.990;3.441.892.863.627.750;0.004417677624165584;9.170.655.706.100.470;4;23.482.549.440.476.300;0.142186904722261;6.882.862.777.591.860;4.038.465.713.802.350;1
487;12.759.035.846.624.100;9.882.668.785.573.800;4;38.674.346.050.512.000;8.124.578.530.258.650;23;2.065.283.116.067.510;943.944.530.300.563;0.01495639354918259;9.093.842.589.248.090;2;4.635.054.532.158.470;0.2781219498582347;6.373.336.578.350.320;26.037.863.104.491.200;1
101;1.160.298.496.933.230;9.353.234.467.105.010;4;4.409.407.537.414.640;6.585.503.754.672.620;11;0.9828983804087443;73.086.209.872.697.000;0.09222512703352147;9.751.870.040.700.460;5;2.803.213.047.036.570;0.20517050676175194;6.743.520.105.612.700;24.813.676.315.685.400;1
489;721.178.790.059.426;8.726.807.863.998.850;4;2.914.496.019.548.590;6.559.086.644.373.970;16;4.771.084.084.173.530;4.444.408.913.785.700;0.023292500836711662;9.280.006.156.823.870;2;31.137.954.693.843.000;0.26233956016085835;30.708.896.844.446.200;3.865.861.509.583.850;1
665;9.922.891.304.139.670;9.876.362.345.049.440;5;3.883.443.099.661.350;8.333.661.741.040.490;11;29.905.893.926.776.700;2.362.427.392.489.340;0.09929372693269417;963.854.995.216.105;7;3.625.911.935.320.960;0.14697895263755334;4.359.604.952.855.720;34.324.769.400.122.700;1
205;11.510.290.492.608.100;8.551.133.552.618.350;1;11.302.905.171.152.100;9.940.038.991.317.780;15;37.717.739.627.427.400;6.688.390.467.299.410;0.06795884843946169;8.064.826.124.905.210;6;12.706.241.697.261.300;0.1523627747389496;14.556.632.757.804.200;3.402.393.295.787.030;1
871;6.329.006.445.194.250;8.664.345.044.123.460;4;20.672.357.691.343.600;6.385.002.332.950.900;9;35.690.432.483.838.900;3.782.930.479.139.520;0.04443544901261846;934.198.629.405.719;0;4.125.152.565.852.980;0.4202631634900461;62.887.286.321.938.700;14.964.461.099.794.200;1
921;830.917.929.066.817;9.401.616.836.003.480;4;2.252.971.240.166.850;7.142.925.714.263.120;11;4.368.446.816.950.410;9.681.403.509.746.660;0.09200488564360401;8.467.417.276.859.240;1;3.050.029.240.344.140;0.40364349764012153;513.332.615.868.198;34.731.351.211.817.900;1
576;13.973.379.410.956.000;9.530.632.599.050.770;1;28.008.308.581.071.500;947.783.646.615.155;10;4.746.638.892.727.290;7.495.687.639.894.750;0.07949861896174555;850.567.791.993.142;3;3.628.707.743.379.860;0.14170114628984576;784.644.534.117.165;4.607.452.044.493.460;0
802;16.034.946.713.587.800;9.858.806.967.698.300;5;4.680.843.621.155.700;62.890.880.490.209.400;13;0.16223086887862226;9.792.991.090.768.840;0.042896507958490204;9.441.153.058.178.680;4;40.880.482.616.547.600;0.36711616595960805;2.857.442.181.594.770;13.432.658.826.817.300;1
501;19.975.212.670.894.200;8.409.604.818.112.410;4;4.434.334.520.999.780;9.503.542.885.467.800;21;4.876.505.899.499.760;8.791.191.179.292.530;0.006859297226735606;9.586.865.917.649.880;9;4.496.397.563.056.850;0.34372452934219333;4.931.309.044.610.210;23.566.851.962.831.400;1
829;18.996.699.970.153.300;9.595.996.070.438.440;3;11.053.647.153.013.300;8.097.143.933.499.000;19;4.352.712.315.529.390;5.864.219.321.524.320;0.08683045745345008;8.743.470.950.277.100;3;25.688.816.678.117.200;0.38534508907209186;2.626.708.897.516.470;30.360.571.657.882.800;1
655;14.638.477.993.027.800;9.477.092.106.793.920;5;12.775.534.334.710.800;7.633.067.095.705.700;12;19.147.370.434.904.800;7.356.505.181.233.140;0.07650399313583411;9.580.153.633.736.610;3;424.571.957.072.902;0.28977956182498965;6.525.813.027.235.970;3.744.037.979.325.940;1
